id,timestamp, lat, long, mode, isCommunicating, direction, reached, partnerId, partnerMode, broadcastedPath, receivedPath, beforePathLength, afterPathLength, sentDataSize, receivedDataSize
15, 1.152000, -34.982475, 1.173807, E, F, , F, , , , , , , , , 
15, 1.984000, -34.613513, 0.959522, E, F, , F, , , , , , , , , 
15, 2.560000, -34.291406, 0.804713, E, F, , F, , , , , , , , , 
15, 3.008000, -33.913880, 0.635916, E, F, , F, , , , , , , , , 
15, 3.392000, -33.588064, 0.477898, E, F, , F, , , , , , , , , 
15, 3.776000, -33.270172, 0.318830, E, F, , F, , , , , , , , , 
15, 4.160000, -32.950620, 0.149097, E, F, , F, , , , , , , , , 
15, 4.544000, -32.638856, -0.021488, E, F, , F, , , , , , , , , 
15, 4.928000, -32.348064, -0.225472, E, F, , F, , , , , , , , , 
15, 5.312000, -32.082041, -0.461092, E, F, , F, , , , , , , , , 
15, 5.696000, -31.844451, -0.725320, E, F, , F, , , , , , , , , 
15, 6.080000, -31.609528, -1.000732, E, F, , F, , , , , , , , , 
15, 6.464000, -31.355110, -1.257757, E, F, , F, , , , , , , , , 
15, 6.848000, -31.081987, -1.494924, E, F, , F, , , , , , , , , 
15, 7.232000, -30.791783, -1.710841, E, F, , F, , , , , , , , , 
15, 7.616000, -30.486140, -1.904264, E, F, , F, , , , , , , , , 
15, 8.000000, -30.187945, -2.097642, E, F, , F, , , , , , , , , 
15, 8.384000, -29.913158, -2.323001, E, F, , F, , , , , , , , , 
15, 8.704000, -29.687830, -2.521394, E, F, , F, , , , , , , , , 
15, 9.024000, -29.448239, -2.702409, E, F, , F, , , , , , , , , 
15, 9.472000, -29.115478, -2.952144, E, F, , F, , , , , , , , , 
15, 9.792000, -28.882801, -3.141662, E, F, , F, , , , , , , , , 
15, 10.240000, -28.559192, -3.403743, E, F, , F, , , , , , , , , 
15, 10.624000, -28.314158, -3.655433, E, F, , F, , , , , , , , , 
15, 10.944000, -28.107811, -3.873334, E, F, , F, , , , , , , , , 
15, 11.328000, -27.862964, -4.134330, E, F, , F, , , , , , , , , 
15, 11.808000, -27.667160, -4.398347, E, F, , F, , , , , , , , , 
15, 12.256000, -27.521556, -4.687461, E, F, , F, , , , , , , , , 
15, 12.640000, -27.340726, -5.000088, E, F, , F, , , , , , , , , 
15, 14.048000, -27.145075, -5.373309, E, F, , F, , , , , , , , , 
15, 14.752000, -27.034666, -5.671270, E, F, , F, , , , , , , , , 
15, 15.328000, -26.916103, -6.010584, E, F, , F, , , , , , , , , 
15, 16.032000, -26.725518, -6.350166, E, F, , F, , , , , , , , , 
15, 16.416000, -26.543245, -6.655854, E, F, , F, , , , , , , , , 
15, 17.440000, -26.277918, -7.229603, E, F, , F, , , , , , , , , 
15, 17.888000, -26.170543, -7.540668, E, F, , F, , , , , , , , , 
15, 18.208000, -26.058615, -7.819014, E, F, , F, , , , , , , , , 
15, 18.848000, -25.971879, -8.201440, E, F, , F, , , , , , , , , 
15, 19.296000, -25.931050, -8.613579, E, F, , F, , , , , , , , , 
15, 19.680000, -25.898125, -8.968066, E, F, , F, , , , , , , , , 
15, 20.064000, -25.873184, -9.326393, E, F, , F, , , , , , , , , 
15, 20.448000, -25.852572, -9.682719, E, F, , F, , , , , , , , , 
15, 20.768000, -25.844999, -9.983061, E, F, , F, , , , , , , , , 
15, 21.216000, -25.833673, -10.399572, E, F, , F, , , , , , , , , 
15, 21.600000, -25.865983, -10.745482, E, F, , F, , , , , , , , , 
15, 21.984000, -25.948051, -11.091474, E, F, , F, , , , , , , , , 
15, 22.368000, -26.068239, -11.422933, E, F, , F, , , , , , , , , 
15, 22.944000, -26.217686, -11.738886, E, F, , F, , , , , , , , , 
15, 23.648000, -26.399952, -12.180363, E, F, , F, , , , , , , , , 
15, 24.352000, -26.507498, -12.555319, E, F, , F, , , , , , , , , 
15, 24.736000, -26.630785, -12.889753, E, F, , F, , , , , , , , , 
15, 25.056000, -26.743864, -13.168136, E, F, , F, , , , , , , , , 
15, 25.664000, -26.845562, -13.455431, E, F, , F, , , , , , , , , 
15, 26.752000, -26.947075, -13.753846, E, F, , F, , , , , , , , , 
15, 29.344000, -27.070208, -14.029334, E, F, , F, , , , , , , , , 
15, 32.800000, -27.589490, -14.183546, E, F, , F, , , , , , , , , 
15, 33.184000, -27.945127, -14.205132, E, F, , F, , , , , , , , , 
15, 33.504000, -28.244411, -14.239717, E, F, , F, , , , , , , , , 
15, 33.888000, -28.599172, -14.245564, E, F, , F, , , , , , , , , 
15, 34.272000, -28.953487, -14.211435, E, F, , F, , , , , , , , , 
15, 34.656000, -29.300097, -14.140570, E, F, , F, , , , , , , , , 
15, 35.040000, -29.658743, -14.087984, E, F, , F, , , , , , , , , 
15, 35.424000, -30.003079, -14.002051, E, F, , F, , , , , , , , , 
15, 35.808000, -30.357897, -13.933406, E, F, , F, , , , , , , , , 
15, 36.192000, -30.698633, -13.831320, E, F, , F, , , , , , , , , 
15, 36.576000, -31.025316, -13.691916, E, F, , F, , , , , , , , , 
15, 36.960000, -31.335535, -13.518448, E, F, , F, , , , , , , , , 
15, 37.344000, -31.661881, -13.359732, E, F, , F, , , , , , , , , 
15, 37.728000, -31.962529, -13.174349, E, F, , F, , , , , , , , , 
15, 38.112000, -32.243921, -12.953302, E, F, , F, , , , , , , , , 
15, 38.496000, -32.497902, -12.705551, E, F, , F, , , , , , , , , 
15, 38.880000, -32.770458, -12.467906, E, F, , F, , , , , , , , , 
15, 39.264000, -33.015779, -12.210159, E, F, , F, , , , , , , , , 
15, 39.648000, -33.280162, -11.964772, E, F, , F, , , , , , , , , 
15, 40.032000, -33.562895, -11.736431, E, F, , F, , , , , , , , , 
15, 40.416000, -33.815171, -11.487442, E, F, , F, , , , , , , , , 
15, 40.800000, -34.040344, -11.212044, E, F, , F, , , , , , , , , 
15, 41.184000, -34.284891, -10.944557, E, F, , F, , , , , , , , , 
15, 41.568000, -34.498167, -10.664467, E, F, , F, , , , , , , , , 
15, 41.952000, -34.684360, -10.361757, E, F, , F, , , , , , , , , 
15, 42.336000, -34.890635, -10.064156, E, F, , F, , , , , , , , , 
15, 42.720000, -35.065335, -9.754228, E, F, , F, , , , , , , , , 
15, 43.104000, -35.262208, -9.450518, E, F, , F, , , , , , , , , 
15, 43.488000, -35.481274, -9.162495, E, F, , F, , , , , , , , , 
15, 44.064000, -35.762103, -8.844038, E, F, , F, , , , , , , , , 
15, 45.120000, -35.961963, -8.614458, E, F, , F, , , , , , , , , 
15, 46.208000, -36.172951, -8.379989, E, F, , F, , , , , , , , , 
15, 50.016000, -36.300902, -8.103131, E, F, , F, , , , , , , , , 
15, 51.968000, -36.217291, -7.671755, E, F, , F, , , , , , , , , 
15, 52.288000, -36.162121, -7.376867, E, F, , F, , , , , , , , , 
15, 52.672000, -36.064604, -7.033994, E, F, , F, , , , , , , , , 
15, 53.056000, -35.982998, -6.687796, E, F, , F, , , , , , , , , 
15, 53.504000, -35.855478, -6.289533, E, F, , F, , , , , , , , , 
15, 53.888000, -35.771551, -5.938255, E, F, , F, , , , , , , , , 
15, 54.336000, -35.677482, -5.529857, E, F, , F, , , , , , , , , 
15, 54.720000, -35.585599, -5.183342, E, F, , F, , , , , , , , , 
15, 55.104000, -35.487378, -4.840589, E, F, , F, , , , , , , , , 
15, 55.488000, -35.379437, -4.495429, E, F, , F, , , , , , , , , 
15, 55.872000, -35.297728, -4.143223, E, F, , F, , , , , , , , , 
15, 56.256000, -35.242855, -3.785236, E, F, , F, , , , , , , , , 
15, 56.640000, -35.215218, -3.425033, E, F, , F, , , , , , , , , 
15, 57.024000, -35.214996, -3.065892, E, F, , F, , , , , , , , , 
15, 57.408000, -35.213881, -2.710027, E, F, , F, , , , , , , , , 
15, 57.792000, -35.202852, -2.350888, E, F, , F, , , , , , , , , 
15, 58.176000, -35.182157, -1.995572, E, F, , F, , , , , , , , , 
15, 58.560000, -35.122008, -1.645777, E, F, , F, , , , , , , , , 
15, 58.944000, -35.053029, -1.293009, E, F, , F, , , , , , , , , 
15, 59.456000, -35.004843, -0.816936, E, F, , F, , , , , , , , , 
15, 59.840000, -35.005067, -0.453837, E, F, , F, , , , , , , , , 
15, 60.224000, -35.031299, -0.093411, E, F, , F, , , , , , , , , 
15, 60.608000, -35.083938, 0.259345, E, F, , F, , , , , , , , , 
15, 60.992000, -35.163666, 0.611805, E, F, , F, , , , , , , , , 
15, 61.376000, -35.209580, 0.962208, E, F, , F, , , , , , , , , 
15, 61.760000, -35.219944, 1.318329, E, F, , F, , , , , , , , , 
15, 62.208000, -35.265677, 1.733668, E, F, , F, , , , , , , , , 
15, 62.592000, -35.336626, 2.087371, E, F, , F, , , , , , , , , 
15, 63.392000, -35.416300, 2.395489, E, F, , F, , , , , , , , , 
15, 68.928000, -35.316916, 2.679465, E, F, , F, , , , , , , , , 
15, 71.808000, -34.928202, 2.603325, E, F, , F, , , , , , , , , 
15, 72.192000, -34.597722, 2.470420, E, F, , F, , , , , , , , , 
15, 72.704000, -34.155179, 2.284902, E, F, , F, , , , , , , , , 
15, 73.088000, -33.808949, 2.179403, E, F, , F, , , , , , , , , 
15, 73.664000, -33.390112, 2.084130, E, F, , F, , , , , , , , , 
15, 74.240000, -33.042674, 1.973490, E, F, , F, , , , , , , , , 
15, 74.624000, -32.699472, 1.884017, E, F, , F, , , , , , , , , 
15, 75.136000, -32.237285, 1.757420, E, F, , F, , , , , , , , , 
15, 75.520000, -31.880365, 1.695008, E, F, , F, , , , , , , , , 
15, 75.904000, -31.535260, 1.600962, E, F, , F, , , , , , , , , 
15, 76.288000, -31.182156, 1.525850, E, F, , F, , , , , , , , , 
15, 76.672000, -30.846083, 1.417568, E, F, , F, , , , , , , , , 
15, 77.056000, -30.526205, 1.273838, E, F, , F, , , , , , , , , 
15, 77.440000, -30.191039, 1.145620, E, F, , F, , , , , , , , , 
15, 77.824000, -29.872866, 0.985587, E, F, , F, , , , , , , , , 
15, 78.208000, -29.540863, 0.843747, E, F, , F, , , , , , , , , 
15, 78.592000, -29.199313, 0.724964, E, F, , F, , , , , , , , , 
15, 79.264000, -28.818672, 0.565136, E, F, , F, , , , , , , , , 
15, 79.648000, -28.545509, 0.414315, E, F, , F, , , , , , , , , 
15, 79.968000, -28.291912, 0.253401, E, F, , F, , , , , , , , , 
15, 80.288000, -28.028886, 0.108203, E, F, , F, , , , , , , , , 
15, 80.672000, -27.736085, -0.093790, E, F, , F, , , , , , , , , 
15, 81.056000, -27.429993, -0.280670, E, F, , F, , , , , , , , , 
15, 81.440000, -27.107074, -0.445709, E, F, , F, , , , , , , , , 
15, 81.824000, -26.774762, -0.584757, E, F, , F, , , , , , , , , 
15, 82.208000, -26.430840, -0.700715, E, F, , F, , , , , , , , , 
15, 82.592000, -26.106555, -0.844714, E, F, , F, , , , , , , , , 
15, 82.912000, -25.824604, -0.951901, E, F, , F, , , , , , , , , 
15, 83.296000, -25.512052, -1.105749, E, F, , F, , , , , , , , , 
15, 83.744000, -25.121097, -1.254260, E, F, , F, , , , , , , , , 
15, 84.128000, -24.771000, -1.354747, E, F, , F, , , , , , , , , 
15, 84.576000, -24.375113, -1.468061, E, F, , F, , , , , , , , , 
15, 84.896000, -24.089874, -1.561132, E, F, , F, , , , , , , , , 
15, 85.344000, -23.691995, -1.688629, E, F, , F, , , , , , , , , 
15, 85.728000, -23.369155, -1.836537, E, F, , F, , , , , , , , , 
15, 86.112000, -23.045041, -1.994855, E, F, , F, , , , , , , , , 
