id,timestamp, lat, long, mode, isCommunicating, direction, reached, partnerId, partnerMode, broadcastedPath, receivedPath, beforePathLength, afterPathLength, sentDataSize, receivedDataSize
2, 2.304000, -34.759996, 2.033409, E, F, , F, , , , , , , , , 
2, 3.712000, -34.504844, 1.560197, E, F, , F, , , , , , , , , 
2, 4.576000, -34.317322, 1.304353, E, F, , F, , , , , , , , , 
2, 5.248000, -34.072843, 0.998090, E, F, , F, , , , , , , , , 
2, 6.272000, -33.803356, 0.622175, E, F, , F, , , , , , , , , 
2, 6.720000, -33.632687, 0.341126, E, F, , F, , , , , , , , , 
2, 7.104000, -33.482462, 0.018262, E, F, , F, , , , , , , , , 
2, 7.488000, -33.309809, -0.299824, E, F, , F, , , , , , , , , 
2, 7.872000, -33.115438, -0.605239, E, F, , F, , , , , , , , , 
2, 8.256000, -32.953057, -0.921795, E, F, , F, , , , , , , , , 
2, 8.960000, -32.688497, -1.299686, E, F, , F, , , , , , , , , 
2, 9.280000, -32.495620, -1.529896, E, F, , F, , , , , , , , , 
2, 9.664000, -32.292857, -1.822503, E, F, , F, , , , , , , , , 
2, 9.984000, -32.106354, -2.058909, E, F, , F, , , , , , , , , 
2, 10.496000, -31.894786, -2.290756, E, F, , F, , , , , , , , , 
2, 11.584000, -31.477102, -2.740268, E, F, , F, , , , , , , , , 
2, 12.032000, -31.257609, -2.945619, E, F, , F, , , , , , , , , 
2, 15.136000, -31.163033, -3.232851, E, F, , F, , , , , , , , , 
2, 19.424000, -31.322692, -3.493088, E, F, , F, , , , , , , , , 
2, 24.480000, -31.680895, -3.206292, E, F, , F, , , , , , , , , 
2, 25.568000, -31.832468, -2.930138, E, F, , F, , , , , , , , , 
2, 26.848000, -32.114184, -2.436091, E, F, , F, , , , , , , , , 
2, 27.360000, -32.275214, -2.140330, E, F, , F, , , , , , , , , 
2, 28.160000, -32.436300, -1.681764, E, F, , F, , , , , , , , , 
2, 28.864000, -32.641068, -1.267847, E, F, , F, , , , , , , , , 
2, 29.184000, -32.798956, -1.012480, E, F, , F, , , , , , , , , 
2, 29.568000, -33.012307, -0.719037, E, F, , F, , , , , , , , , 
2, 29.952000, -33.246625, -0.443249, E, F, , F, , , , , , , , , 
2, 30.400000, -33.547309, -0.150715, E, F, , F, , , , , , , , , 
2, 30.848000, -33.850167, 0.136186, E, F, , F, , , , , , , , , 
2, 31.232000, -34.076114, 0.408214, E, F, , F, , , , , , , , , 
2, 31.616000, -34.298973, 0.688346, E, F, , F, , , , , , , , , 
2, 31.936000, -34.505284, 0.906495, E, F, , F, , , , , , , , , 
2, 32.320000, -34.746090, 1.163224, E, F, , F, , , , , , , , , 
2, 32.640000, -34.944569, 1.388569, E, F, , F, , , , , , , , , 
2, 33.024000, -35.177911, 1.656587, E, F, , F, , , , , , , , , 
