id,timestamp, lat, long, mode, isCommunicating, direction, reached, partnerId, partnerMode, broadcastedPath, receivedPath, beforePathLength, afterPathLength, sentDataSize, receivedDataSize
5, 0.704000, -36.787934, -0.498626, E, F, , F, , , , , , , , , 
5, 1.088000, -36.689483, -0.840677, E, F, , F, , , , , , , , , 
5, 1.472000, -36.575588, -1.177308, E, F, , F, , , , , , , , , 
5, 1.920000, -36.473065, -1.582394, E, F, , F, , , , , , , , , 
5, 2.304000, -36.386600, -1.928454, E, F, , F, , , , , , , , , 
5, 2.688000, -36.339932, -2.279123, E, F, , F, , , , , , , , , 
5, 3.072000, -36.301009, -2.637496, E, F, , F, , , , , , , , , 
5, 3.456000, -36.234233, -2.993202, E, F, , F, , , , , , , , , 
5, 3.840000, -36.141410, -3.341132, E, F, , F, , , , , , , , , 
5, 4.224000, -36.021637, -3.684152, E, F, , F, , , , , , , , , 
5, 4.608000, -35.909493, -4.017396, E, F, , F, , , , , , , , , 
5, 4.992000, -35.805556, -4.357505, E, F, , F, , , , , , , , , 
5, 5.376000, -35.668949, -4.692653, E, F, , F, , , , , , , , , 
5, 5.760000, -35.537922, -5.024465, E, F, , F, , , , , , , , , 
5, 6.272000, -35.368556, -5.472347, E, F, , F, , , , , , , , , 
5, 6.848000, -35.178376, -5.856994, E, F, , F, , , , , , , , , 
5, 7.968000, -35.038990, -6.133070, E, F, , F, , , , , , , , , 
5, 9.056000, -34.899868, -6.416155, E, F, , F, , , , , , , , , 
5, 10.144000, -34.760742, -6.699236, E, F, , F, , , , , , , , , 
5, 11.232000, -34.621622, -6.982321, E, F, , F, , , , , , , , , 
5, 12.320000, -34.482495, -7.265403, E, F, , F, , , , , , , , , 
5, 13.408000, -34.343376, -7.548488, E, F, , F, , , , , , , , , 
5, 16.064000, -34.185338, -8.148759, E, F, , F, , , , , , , , , 
5, 16.384000, -34.126995, -8.444060, E, F, , F, , , , , , , , , 
5, 16.768000, -34.032975, -8.792579, E, F, , F, , , , , , , , , 
5, 17.152000, -33.972817, -9.144148, E, F, , F, , , , , , , , , 
5, 17.536000, -33.892606, -9.496526, E, F, , F, , , , , , , , , 
5, 17.920000, -33.846971, -9.846575, E, F, , F, , , , , , , , , 
5, 18.304000, -33.776609, -10.204075, E, F, , F, , , , , , , , , 
5, 18.688000, -33.678120, -10.550107, E, F, , F, , , , , , , , , 
5, 19.072000, -33.553533, -10.888033, E, F, , F, , , , , , , , , 
5, 19.456000, -33.403289, -11.217136, E, F, , F, , , , , , , , , 
5, 19.776000, -33.260154, -11.481199, E, F, , F, , , , , , , , , 
5, 20.160000, -33.121993, -11.809325, E, F, , F, , , , , , , , , 
5, 20.544000, -33.019894, -12.150069, E, F, , F, , , , , , , , , 
5, 20.928000, -32.894990, -12.489044, E, F, , F, , , , , , , , , 
5, 21.312000, -32.746789, -12.819472, E, F, , F, , , , , , , , , 
5, 21.696000, -32.632689, -13.155192, E, F, , F, , , , , , , , , 
5, 22.080000, -32.496480, -13.491484, E, F, , F, , , , , , , , , 
5, 22.464000, -32.335219, -13.811316, E, F, , F, , , , , , , , , 
5, 22.848000, -32.148726, -14.122311, E, F, , F, , , , , , , , , 
5, 23.232000, -31.940256, -14.417198, E, F, , F, , , , , , , , , 
5, 23.616000, -31.710439, -14.699102, E, F, , F, , , , , , , , , 
5, 24.000000, -31.513302, -14.992526, E, F, , F, , , , , , , , , 
