id, timestamp, lat, long, mode, isCommunicating, direction, reached, partnerId, partnerMode, broadcastedPath, receivedPath, beforePathLength, afterPathLength
1, 2.880000, -36.153338, 1.066347, E, F, , F, , , , , , , 
1, 4.416000, -35.848484, 1.110078, E, F, , F, , , , , , , 
1, 5.056000, -35.445669, 1.224329, E, F, , F, , , , , , , 
1, 5.696000, -34.981184, 1.281966, E, F, , F, , , , , , , 
1, 7.072000, -34.594532, 1.379056, E, F, , F, , , , , , , 
1, 7.808000, -34.304465, 1.458203, E, F, , F, , , , , , , 
1, 8.224000, -34.005719, 1.542295, E, F, , F, , , , , , , 
1, 8.608000, -33.671796, 1.583364, E, F, , F, , , , , , , 
1, 8.992000, -33.337527, 1.546532, E, F, , F, , , , , , , 
1, 9.376000, -33.020603, 1.433158, E, F, , F, , , , , , , 
1, 9.760000, -32.736002, 1.252281, E, F, , F, , , , , , , 
1, 10.144000, -32.430587, 1.055860, E, F, , F, , , , , , , 
1, 10.528000, -32.113615, 0.884124, E, F, , F, , , , , , , 
1, 11.232000, -31.685003, 0.690771, E, F, , F, , , , , , , 
1, 11.552000, -31.402537, 0.589298, E, F, , F, , , , , , , 
1, 11.936000, -31.104415, 0.432450, E, F, , F, , , , , , , 
1, 12.320000, -30.785236, 0.261093, E, F, , F, , , , , , , 
1, 12.704000, -30.479737, 0.068200, E, F, , F, , , , , , , 
1, 13.088000, -30.224285, -0.150940, E, F, , F, , , , , , , 
1, 13.472000, -29.951793, -0.389508, E, F, , F, , , , , , , 
1, 13.856000, -29.704559, -0.643900, E, F, , F, , , , , , , 
1, 14.304000, -29.471402, -0.971468, E, F, , F, , , , , , , 
1, 14.688000, -29.251979, -1.256862, E, F, , F, , , , , , , 
1, 15.008000, -29.050316, -1.478983, E, F, , F, , , , , , , 
1, 15.392000, -28.807231, -1.738555, E, F, , F, , , , , , , 
1, 15.776000, -28.611853, -2.019858, E, F, , F, , , , , , , 
1, 16.160000, -28.411240, -2.312535, E, F, , F, , , , , , , 
1, 16.544000, -28.259520, -2.623685, E, F, , F, , , , , , , 
1, 16.928000, -28.159140, -2.954267, E, F, , F, , , , , , , 
1, 17.312000, -28.058204, -3.296254, E, F, , F, , , , , , , 
1, 17.696000, -28.006901, -3.632601, E, F, , F, , , , , , , 
1, 18.080000, -27.952766, -3.991473, E, F, , F, , , , , , , 
1, 18.464000, -27.933926, -4.335881, E, F, , F, , , , , , , 
1, 18.848000, -27.987366, -4.668767, E, F, , F, , , , , , , 
1, 19.392000, -28.121538, -5.031469, E, F, , F, , , , , , , 
1, 20.480000, -28.271897, -5.307572, E, F, , F, , , , , , , 
1, 23.936000, -28.346295, -5.600649, E, F, , F, , , , , , , 
1, 26.368000, -28.118207, -6.015124, E, F, , F, , , , , , , 
1, 26.752000, -27.977168, -6.320699, E, F, , F, , , , , , , 
1, 27.328000, -27.872970, -6.726119, E, F, , F, , , , , , , 
1, 28.032000, -27.771098, -7.112454, E, F, , F, , , , , , , 
1, 30.880000, -27.452625, -7.288970, E, F, , F, , , , , , , 
1, 31.712000, -27.073530, -7.411500, E, F, , F, , , , , , , 
1, 32.032000, -26.778406, -7.474011, E, F, , F, , , , , , , 
1, 32.352000, -26.481078, -7.515866, E, F, , F, , , , , , , 
1, 32.736000, -26.141966, -7.603957, E, F, , F, , , , , , , 
1, 33.120000, -25.789650, -7.677466, E, F, , F, , , , , , , 
1, 33.504000, -25.449511, -7.783393, E, F, , F, , , , , , , 
1, 33.888000, -25.150727, -7.932374, E, F, , F, , , , , , , 
1, 34.464000, -24.837607, -8.149057, E, F, , F, , , , , , , 
1, 35.040000, -24.447075, -8.379992, E, F, , F, , , , , , , 
1, 35.424000, -24.121924, -8.539507, E, F, , F, , , , , , , 
1, 36.160000, -23.866111, -8.719542, E, F, , F, , , , , , , 
1, 37.664000, -23.634496, -8.914237, E, F, , F, , , , , , , 
1, 43.040000, -23.670172, -9.213442, E, F, , F, , , , , , , 
1, 43.840000, -23.890220, -9.493999, E, F, , F, , , , , , , 
1, 44.160000, -24.096963, -9.711778, E, F, , F, , , , , , , 
1, 44.608000, -24.414891, -9.962533, E, F, , F, , , , , , , 
1, 44.992000, -24.693441, -10.194046, E, F, , F, , , , , , , 
1, 45.376000, -24.979607, -10.370683, E, F, , F, , , , , , , 
1, 45.760000, -25.290453, -10.557431, E, F, , F, , , , , , , 
1, 46.144000, -25.600424, -10.688364, E, F, , F, , , , , , , 
1, 46.528000, -25.935038, -10.825829, E, F, , F, , , , , , , 
1, 46.912000, -26.262150, -10.905985, E, F, , F, , , , , , , 
1, 47.296000, -26.595890, -10.910475, E, F, , F, , , , , , , 
1, 47.680000, -26.925435, -10.840500, E, F, , F, , , , , , , 
1, 48.064000, -27.230733, -10.698361, E, F, , F, , , , , , , 
1, 48.448000, -27.496789, -10.493309, E, F, , F, , , , , , , 
1, 48.832000, -27.781656, -10.269527, E, F, , F, , , , , , , 
1, 49.664000, -27.988027, -10.051732, E, F, , F, , , , , , , 
1, 52.608000, -28.213157, -9.853016, E, F, , F, , , , , , , 
1, 56.864000, -28.626428, -10.067690, E, F, , F, , , , , , , 
1, 57.184000, -28.851412, -10.266352, E, F, , F, , , , , , , 
1, 57.568000, -29.102151, -10.527640, E, F, , F, , , , , , , 
1, 57.952000, -29.332779, -10.807196, E, F, , F, , , , , , , 
1, 58.336000, -29.541061, -11.102253, E, F, , F, , , , , , , 
1, 58.720000, -29.746432, -11.384698, E, F, , F, , , , , , , 
1, 59.104000, -29.997000, -11.607188, E, F, , F, , , , , , , 
1, 59.488000, -30.287221, -11.802564, E, F, , F, , , , , , , 
1, 59.872000, -30.581581, -11.989279, E, F, , F, , , , , , , 
1, 60.256000, -30.898690, -12.104457, E, F, , F, , , , , , , 
1, 60.640000, -31.239231, -12.178790, E, F, , F, , , , , , , 
1, 61.024000, -31.580295, -12.244662, E, F, , F, , , , , , , 
1, 61.504000, -31.905942, -12.271546, E, F, , F, , , , , , , 
1, 62.048000, -32.305807, -12.347376, E, F, , F, , , , , , , 
1, 62.624000, -32.648488, -12.424662, E, F, , F, , , , , , , 
1, 62.944000, -32.938581, -12.507655, E, F, , F, , , , , , , 
1, 63.392000, -33.327973, -12.660091, E, F, , F, , , , , , , 
1, 63.776000, -33.654690, -12.798081, E, F, , F, , , , , , , 
1, 64.160000, -33.983061, -12.864193, E, F, , F, , , , , , , 
1, 64.544000, -34.329949, -12.873492, E, F, , F, , , , , , , 
1, 64.928000, -34.687107, -12.877511, E, F, , F, , , , , , , 
1, 65.408000, -35.020378, -12.845928, E, F, , F, , , , , , , 
1, 70.336000, -35.287537, -12.983945, E, F, , F, , , , , , , 
1, 72.288000, -35.443125, -13.245270, E, F, , F, , , , , , , 
1, 74.912000, -35.570577, -13.523891, E, F, , F, , , , , , , 
1, 77.728000, -35.405056, -13.995591, E, F, , F, , , , , , , 
1, 78.176000, -35.193308, -14.357682, E, F, , F, , , , , , , 
1, 78.560000, -35.006175, -14.658311, E, F, , F, , , , , , , 
1, 78.944000, -34.868423, -14.974475, E, F, , F, , , , , , , 
1, 79.328000, -34.707560, -15.301590, E, F, , F, , , , , , , 
1, 79.712000, -34.521021, -15.608709, E, F, , F, , , , , , , 
1, 80.224000, -34.238151, -15.995391, E, F, , F, , , , , , , 
1, 80.672000, -33.951397, -16.300181, E, F, , F, , , , , , , 
1, 81.280000, -33.703706, -16.522741, E, F, , F, , , , , , , 
1, 81.728000, -33.446315, -16.832007, E, F, , F, , , , , , , 
1, 82.112000, -33.230772, -17.123205, E, F, , F, , , , , , , 
1, 82.496000, -33.027847, -17.405224, E, F, , F, , , , , , , 
1, 82.880000, -32.860180, -17.713986, E, F, , F, , , , , , , 
1, 83.712000, -32.552943, -18.111549, E, F, , F, , , , , , , 
1, 84.096000, -32.348702, -18.381365, E, F, , F, , , , , , , 
1, 84.544000, -32.193366, -18.749953, E, F, , F, , , , , , , 
1, 84.928000, -32.076542, -19.092794, E, F, , F, , , , , , , 
1, 85.312000, -31.955525, -19.425500, E, F, , F, , , , , , , 
1, 85.696000, -31.886433, -19.763213, E, F, , F, , , , , , , 
1, 86.272000, -31.808933, -20.111153, E, F, , F, , , , , , , 
1, 86.720000, -31.770444, -20.510278, E, F, , F, , , , , , , 
1, 87.040000, -31.743286, -20.809087, E, F, , F, , , , , , , 
1, 87.488000, -31.764585, -21.204172, E, F, , F, , , , , , , 
1, 87.872000, -31.785376, -21.559401, E, F, , F, , , , , , , 
1, 88.256000, -31.871659, -21.885140, E, F, , F, , , , , , , 
1, 88.640000, -32.028272, -22.182405, E, F, , F, , , , , , , 
1, 89.024000, -32.246917, -22.436218, E, F, , F, , , , , , , 
1, 89.408000, -32.523645, -22.640041, E, F, , F, , , , , , , 
1, 89.792000, -32.828875, -22.819269, E, F, , F, , , , , , , 
1, 90.176000, -33.148906, -22.948160, E, F, , F, , , , , , , 
1, 91.328000, -33.420872, -23.085923, E, F, , F, , , , , , , 
1, 92.544000, -33.841865, -23.339798, E, F, , F, , , , , , , 
1, 93.600000, -34.101887, -23.498251, E, F, , F, , , , , , , 
1, 98.144000, -34.272996, -23.750837, E, F, , F, , , , , , , 
1, 100.736000, -34.101147, -24.076461, E, F, , F, , , , , , , 
1, 101.056000, -33.919651, -24.315519, E, F, , F, , , , , , , 
1, 101.440000, -33.677436, -24.585120, E, F, , F, , , , , , , 
1, 101.824000, -33.415401, -24.835794, E, F, , F, , , , , , , 
1, 102.208000, -33.167679, -25.079485, E, F, , F, , , , , , , 
1, 102.720000, -32.903335, -25.470129, E, F, , F, , , , , , , 
1, 103.168000, -32.746520, -25.838058, E, F, , F, , , , , , , 
1, 103.552000, -32.648293, -26.177909, E, F, , F, , , , , , , 
1, 103.936000, -32.616724, -26.527790, E, F, , F, , , , , , , 
1, 104.448000, -32.572232, -27.004339, E, F, , F, , , , , , , 
1, 104.832000, -32.504620, -27.360303, E, F, , F, , , , , , , 
1, 105.504000, -32.503373, -27.753801, E, F, , F, , , , , , , 
1, 105.888000, -32.579693, -28.082143, E, F, , F, , , , , , , 
1, 106.400000, -32.653674, -28.391641, E, F, , F, , , , , , , 
1, 107.168000, -32.766948, -28.839433, E, F, , F, , , , , , , 
1, 109.120000, -32.723762, -29.265900, E, F, , F, , , , , , , 
1, 109.440000, -32.697722, -29.565068, E, F, , F, , , , , , , 
1, 109.856000, -32.715557, -29.914844, E, F, , F, , , , , , , 
1, 110.528000, -32.835934, -30.290056, E, F, , F, , , , , , , 
1, 111.392000, -32.893354, -30.601657, E, F, , F, , , , , , , 
1, 112.480000, -32.934358, -30.914408, E, F, , F, , , , , , , 
1, 113.568000, -32.973525, -31.227390, E, F, , F, , , , , , , 
1, 114.656000, -33.017965, -31.539668, E, F, , F, , , , , , , 
1, 115.744000, -33.064236, -31.851680, E, F, , F, , , , , , , 
1, 117.024000, -33.101505, -32.151235, E, F, , F, , , , , , , 
1, 119.744000, -32.973066, -32.636522, E, F, , F, , , , , , , 
1, 120.192000, -32.790896, -33.014019, E, F, , F, , , , , , , 
1, 120.576000, -32.608537, -33.325637, E, F, , F, , , , , , , 
1, 121.120000, -32.379348, -33.645286, E, F, , F, , , , , , , 
1, 121.536000, -32.169425, -33.872452, E, F, , F, , , , , , , 
1, 121.920000, -31.980526, -34.150930, E, F, , F, , , , , , , 
1, 122.304000, -31.860790, -34.465369, E, F, , F, , , , , , , 
1, 122.880000, -31.820244, -34.805204, E, F, , F, , , , , , , 
1, 125.376000, -31.849266, -35.106055, E, F, , F, , , , , , , 
1, 126.304000, -32.045124, -35.430091, E, F, , F, , , , , , , 
1, 126.816000, -32.249964, -35.674239, E, F, , F, , , , , , , 
1, 127.904000, -32.457281, -35.911412, E, F, , F, , , , , , , 
1, 131.392000, -32.611653, -36.170969, E, F, , F, , , , , , , 
1, 134.208000, -32.397038, -36.613283, E, F, , F, , , , , , , 
1, 134.656000, -32.244733, -36.983031, E, F, , F, , , , , , , 
1, 135.040000, -32.130492, -37.326883, E, F, , F, , , , , , , 
1, 135.424000, -31.991564, -37.659314, E, F, , F, , , , , , , 
1, 135.808000, -31.842579, -37.989771, E, F, , F, , , , , , , 
1, 136.192000, -31.700603, -38.322951, E, F, , F, , , , , , , 
1, 136.576000, -31.555448, -38.645150, E, F, , F, , , , , , , 
1, 136.960000, -31.460888, -38.975329, E, F, , F, , , , , , , 
1, 137.344000, -31.345345, -39.319252, E, F, , F, , , , , , , 
1, 137.728000, -31.225572, -39.651914, E, F, , F, , , , , , , 
1, 138.112000, -31.177058, -39.983681, E, F, , F, , , , , , , 
1, 138.496000, -31.204976, -40.320007, E, F, , F, , , , , , , 
1, 138.880000, -31.297743, -40.656080, E, F, , F, , , , , , , 
1, 139.328000, -31.464319, -41.019100, E, F, , F, , , , , , , 
1, 140.128000, -31.594785, -41.309481, E, F, , F, , , , , , , 
1, 141.216000, -31.728971, -41.594890, E, F, , F, , , , , , , 
1, 143.840000, -31.836083, -41.881507, E, F, , F, , , , , , , 
1, 146.464000, -31.673821, -42.340215, E, F, , F, , , , , , , 
1, 146.784000, -31.530832, -42.604178, E, F, , F, , , , , , , 
1, 147.168000, -31.415690, -42.920576, E, F, , F, , , , , , , 
1, 147.552000, -31.364587, -43.264462, E, F, , F, , , , , , , 
1, 148.160000, -31.375616, -43.577447, E, F, , F, , , , , , , 
1, 149.248000, -31.426703, -43.888487, E, F, , F, , , , , , , 
1, 150.336000, -31.483401, -44.198764, E, F, , F, , , , , , , 
1, 153.760000, -31.487014, -44.501782, E, F, , F, , , , , , , 
1, 154.688000, -31.329120, -44.992091, E, F, , F, , , , , , , 
1, 155.648000, -31.210263, -45.357583, E, F, , F, , , , , , , 
1, 156.704000, -31.040497, -45.718014, E, F, , F, , , , , , , 
1, 159.392000, -30.865156, -45.964606, E, F, , F, , , , , , , 
1, 164.864000, -30.560666, -45.960977, E, F, , F, , , , , , , 
1, 165.600000, -30.174473, -45.694403, E, F, , F, , , , , , , 
1, 165.984000, -29.897560, -45.472659, E, F, , F, , , , , , , 
1, 166.432000, -29.551222, -45.270557, E, F, , F, , , , , , , 
1, 166.816000, -29.242864, -45.097625, E, F, , F, , , , , , , 
1, 167.264000, -28.868793, -44.981945, E, F, , F, , , , , , , 
1, 167.648000, -28.524718, -44.926388, E, F, , F, , , , , , , 
1, 168.032000, -28.174045, -44.912863, E, F, , F, , , , , , , 
1, 168.416000, -27.815545, -44.874781, E, F, , F, , , , , , , 
1, 169.344000, -27.220832, -44.881736, E, F, , F, , , , , , , 
1, 169.664000, -26.921564, -44.916591, E, F, , F, , , , , , , 
1, 169.984000, -26.621633, -44.928798, E, F, , F, , , , , , , 
1, 170.368000, -26.262685, -44.918363, E, F, , F, , , , , , , 
1, 170.752000, -25.901969, -44.880798, E, F, , F, , , , , , , 
1, 171.136000, -25.546523, -44.816564, E, F, , F, , , , , , , 
1, 171.520000, -25.195102, -44.727949, E, F, , F, , , , , , , 
1, 171.904000, -24.859808, -44.694894, E, F, , F, , , , , , , 
1, 172.576000, -24.461664, -44.760220, E, F, , F, , , , , , , 
1, 173.440000, -24.146062, -44.797640, E, F, , F, , , , , , , 
1, 174.528000, -23.831933, -44.826053, E, F, , F, , , , , , , 
1, 175.616000, -23.517357, -44.849151, E, F, , F, , , , , , , 
1, 176.704000, -23.202736, -44.871633, E, F, , F, , , , , , , 
1, 177.824000, -22.891493, -44.899114, E, F, , F, , , , , , , 
1, 180.416000, -22.570793, -44.866285, E, F, , F, , , , , , , 
1, 181.280000, -22.166568, -44.749335, E, F, , F, , , , , , , 
1, 181.728000, -21.857836, -44.635187, E, F, , F, , , , , , , 
1, 182.048000, -21.586356, -44.506854, E, F, , F, , , , , , , 
1, 182.432000, -21.272103, -44.328601, E, F, , F, , , , , , , 
1, 182.816000, -20.971200, -44.129030, E, F, , F, , , , , , , 
1, 183.200000, -20.667409, -43.986748, E, F, , F, , , , , , , 
1, 183.584000, -20.340186, -43.916338, E, F, , F, , , , , , , 
1, 184.160000, -19.959480, -43.930925, E, F, , F, , , , , , , 
1, 184.992000, -19.528451, -44.005729, E, F, , F, , , , , , , 
1, 186.048000, -19.227220, -44.050187, E, F, , F, , , , , , , 
1, 187.136000, -18.914453, -44.091035, E, F, , F, , , , , , , 
1, 188.224000, -18.601044, -44.126621, E, F, , F, , , , , , , 
1, 196.160000, -18.597913, -44.426725, E, F, , F, , , , , , , 
1, 200.352000, -19.173114, -44.301150, E, F, , F, , , , , , , 
1, 200.736000, -19.486607, -44.135127, E, F, , F, , , , , , , 
1, 201.120000, -19.756438, -43.933470, E, F, , F, , , , , , , 
1, 201.504000, -20.044860, -43.713508, E, F, , F, , , , , , , 
1, 201.888000, -20.295790, -43.471274, E, F, , F, , , , , , , 
1, 202.624000, -20.653043, -43.182094, E, F, , F, , , , , , , 
1, 203.008000, -20.900063, -42.950689, E, F, , F, , , , , , , 
1, 203.392000, -21.163368, -42.701951, E, F, , F, , , , , , , 
1, 203.776000, -21.444179, -42.473903, E, F, , F, , , , , , , 
