id, timestamp, lat, long, mode, isCommunicating, direction, reached, partnerId, partnerMode, broadcastedPath, receivedPath, beforePathLength, afterPathLength
6, 2.816000, -35.445559, 0.468788, E, F, , F, , , , , , , 
6, 5.376000, -34.863285, 0.239183, E, F, , F, , , , , , , 
6, 8.640000, -34.412020, 0.437327, E, F, , F, , , , , , , 
6, 9.472000, -34.097327, 0.607821, E, F, , F, , , , , , , 
6, 9.952000, -33.822369, 0.793997, E, F, , F, , , , , , , 
6, 10.432000, -33.574948, 1.009806, E, F, , F, , , , , , , 
6, 10.752000, -33.363550, 1.223079, E, F, , F, , , , , , , 
6, 11.136000, -33.126235, 1.497628, E, F, , F, , , , , , , 
6, 11.520000, -32.872267, 1.716328, E, F, , F, , , , , , , 
6, 11.904000, -32.564556, 1.900607, E, F, , F, , , , , , , 
6, 12.288000, -32.267507, 2.104534, E, F, , F, , , , , , , 
6, 12.672000, -31.987400, 2.331066, E, F, , F, , , , , , , 
6, 13.056000, -31.722147, 2.578774, E, F, , F, , , , , , , 
6, 13.952000, -31.469934, 2.759781, E, F, , F, , , , , , , 
6, 15.040000, -31.207616, 2.935085, E, F, , F, , , , , , , 
6, 16.128000, -30.946379, 3.111855, E, F, , F, , , , , , , 
6, 19.136000, -30.669387, 3.238205, E, F, , F, , , , , , , 
6, 20.704000, -30.258641, 3.199782, E, F, , F, , , , , , , 
6, 21.024000, -29.958952, 3.178504, E, F, , F, , , , , , , 
6, 21.408000, -29.629887, 3.105361, E, F, , F, , , , , , , 
6, 21.792000, -29.325969, 2.963356, E, F, , F, , , , , , , 
6, 22.176000, -28.998092, 2.809563, E, F, , F, , , , , , , 
6, 22.624000, -28.603713, 2.668427, E, F, , F, , , , , , , 
6, 23.008000, -28.254201, 2.574415, E, F, , F, , , , , , , 
6, 23.392000, -27.900399, 2.507147, E, F, , F, , , , , , , 
6, 23.776000, -27.542455, 2.465513, E, F, , F, , , , , , , 
6, 24.160000, -27.181290, 2.452698, E, F, , F, , , , , , , 
6, 24.544000, -26.827408, 2.449645, E, F, , F, , , , , , , 
6, 24.928000, -26.497276, 2.379718, E, F, , F, , , , , , , 
6, 25.312000, -26.161755, 2.265927, E, F, , F, , , , , , , 
6, 25.696000, -25.823991, 2.158662, E, F, , F, , , , , , , 
6, 26.080000, -25.513421, 2.008345, E, F, , F, , , , , , , 
6, 26.464000, -25.194927, 1.851512, E, F, , F, , , , , , , 
6, 26.912000, -24.862369, 1.608518, E, F, , F, , , , , , , 
6, 27.296000, -24.596507, 1.374983, E, F, , F, , , , , , , 
6, 27.680000, -24.381908, 1.097792, E, F, , F, , , , , , , 
