id,timestamp, lat, long, mode, isCommunicating, direction, reached, partnerId, partnerMode, broadcastedPath, receivedPath, beforePathLength, afterPathLength, sentDataSize, receivedDataSize
10, 1.312000, -36.891534, 0.800094, E, F, , F, , , , , , , , , 
10, 2.464000, -36.611949, 0.688456, E, F, , F, , , , , , , , , 
10, 3.552000, -36.315618, 0.576616, E, F, , F, , , , , , , , , 
10, 4.544000, -35.867359, 0.398212, E, F, , F, , , , , , , , , 
10, 5.440000, -35.324904, 0.227338, E, F, , F, , , , , , , , , 
10, 5.984000, -34.952186, 0.124266, E, F, , F, , , , , , , , , 
10, 7.040000, -34.672057, 0.004946, E, F, , F, , , , , , , , , 
10, 7.840000, -34.246042, -0.205702, E, F, , F, , , , , , , , , 
10, 8.416000, -33.898459, -0.435702, E, F, , F, , , , , , , , , 
10, 8.928000, -33.622332, -0.627434, E, F, , F, , , , , , , , , 
10, 9.824000, -33.234429, -0.824409, E, F, , F, , , , , , , , , 
10, 10.144000, -32.961093, -0.948234, E, F, , F, , , , , , , , , 
10, 10.528000, -32.621847, -1.074168, E, F, , F, , , , , , , , , 
10, 11.104000, -32.281967, -1.182492, E, F, , F, , , , , , , , , 
10, 11.712000, -31.866143, -1.343275, E, F, , F, , , , , , , , , 
10, 12.128000, -31.565652, -1.417333, E, F, , F, , , , , , , , , 
10, 12.448000, -31.269556, -1.467843, E, F, , F, , , , , , , , , 
10, 12.832000, -30.908883, -1.501447, E, F, , F, , , , , , , , , 
10, 13.216000, -30.547680, -1.507539, E, F, , F, , , , , , , , , 
10, 13.600000, -30.185172, -1.488590, E, F, , F, , , , , , , , , 
10, 13.984000, -29.830306, -1.502789, E, F, , F, , , , , , , , , 
10, 14.368000, -29.470048, -1.497601, E, F, , F, , , , , , , , , 
10, 14.752000, -29.117951, -1.529804, E, F, , F, , , , , , , , , 
10, 15.136000, -28.770975, -1.602907, E, F, , F, , , , , , , , , 
10, 15.520000, -28.432046, -1.713446, E, F, , F, , , , , , , , , 
10, 15.904000, -28.083083, -1.805901, E, F, , F, , , , , , , , , 
10, 16.288000, -27.749022, -1.931128, E, F, , F, , , , , , , , , 
10, 16.672000, -27.434661, -2.090690, E, F, , F, , , , , , , , , 
10, 17.056000, -27.103155, -2.235162, E, F, , F, , , , , , , , , 
10, 17.440000, -26.791410, -2.409546, E, F, , F, , , , , , , , , 
10, 17.824000, -26.502421, -2.614648, E, F, , F, , , , , , , , , 
10, 18.208000, -26.194882, -2.808085, E, F, , F, , , , , , , , , 
10, 18.592000, -25.914920, -3.026156, E, F, , F, , , , , , , , , 
10, 18.976000, -25.659422, -3.272899, E, F, , F, , , , , , , , , 
10, 19.360000, -25.383989, -3.507972, E, F, , F, , , , , , , , , 
10, 19.744000, -25.093201, -3.723169, E, F, , F, , , , , , , , , 
10, 20.128000, -24.829352, -3.962699, E, F, , F, , , , , , , , , 
10, 20.512000, -24.592849, -4.228725, E, F, , F, , , , , , , , , 
10, 20.960000, -24.290129, -4.517837, E, F, , F, , , , , , , , , 
10, 21.344000, -24.008472, -4.741007, E, F, , F, , , , , , , , , 
10, 21.728000, -23.731962, -4.964616, E, F, , F, , , , , , , , , 
10, 22.112000, -23.481696, -5.218250, E, F, , F, , , , , , , , , 
10, 22.496000, -23.235558, -5.481539, E, F, , F, , , , , , , , , 
10, 22.816000, -23.016063, -5.687007, E, F, , F, , , , , , , , , 
10, 23.200000, -22.758825, -5.929681, E, F, , F, , , , , , , , , 
10, 23.584000, -22.500823, -6.184743, E, F, , F, , , , , , , , , 
10, 23.968000, -22.251193, -6.437821, E, F, , F, , , , , , , , , 
10, 24.352000, -22.004135, -6.700936, E, F, , F, , , , , , , , , 
10, 24.736000, -21.764529, -6.962965, E, F, , F, , , , , , , , , 
10, 25.120000, -21.526825, -7.236384, E, F, , F, , , , , , , , , 
10, 25.504000, -21.297428, -7.506763, E, F, , F, , , , , , , , , 
10, 25.824000, -21.110710, -7.741984, E, F, , F, , , , , , , , , 
10, 26.272000, -20.849906, -8.069022, E, F, , F, , , , , , , , , 
10, 26.656000, -20.663152, -8.370718, E, F, , F, , , , , , , , , 
10, 27.040000, -20.481159, -8.682051, E, F, , F, , , , , , , , , 
10, 27.360000, -20.312448, -8.931040, E, F, , F, , , , , , , , , 
10, 27.744000, -20.115697, -9.223744, E, F, , F, , , , , , , , , 
10, 28.448000, -19.846871, -9.636749, E, F, , F, , , , , , , , , 
10, 29.536000, -19.668849, -9.892182, E, F, , F, , , , , , , , , 
10, 31.968000, -19.479140, -10.127285, E, F, , F, , , , , , , , , 
10, 35.168000, -18.958951, -10.155978, E, F, , F, , , , , , , , , 
10, 35.552000, -18.603221, -10.169398, E, F, , F, , , , , , , , , 
10, 35.936000, -18.242182, -10.160817, E, F, , F, , , , , , , , , 
10, 36.320000, -17.882558, -10.125196, E, F, , F, , , , , , , , , 
10, 36.704000, -17.526319, -10.062756, E, F, , F, , , , , , , , , 
10, 37.024000, -17.234458, -9.988609, E, F, , F, , , , , , , , , 
10, 37.408000, -16.891232, -9.873697, E, F, , F, , , , , , , , , 
10, 37.856000, -16.509046, -9.704018, E, F, , F, , , , , , , , , 
10, 38.240000, -16.190163, -9.530278, E, F, , F, , , , , , , , , 
10, 38.624000, -15.891600, -9.329761, E, F, , F, , , , , , , , , 
10, 39.008000, -15.607423, -9.107944, E, F, , F, , , , , , , , , 
10, 39.520000, -15.256501, -8.783438, E, F, , F, , , , , , , , , 
10, 39.904000, -14.977827, -8.561886, E, F, , F, , , , , , , , , 
10, 40.288000, -14.677680, -8.370452, E, F, , F, , , , , , , , , 
10, 40.672000, -14.384111, -8.159580, E, F, , F, , , , , , , , , 
10, 41.056000, -14.077284, -7.979875, E, F, , F, , , , , , , , , 
10, 41.440000, -13.776526, -7.777881, E, F, , F, , , , , , , , , 
10, 41.824000, -13.495612, -7.563216, E, F, , F, , , , , , , , , 
10, 42.144000, -13.239598, -7.405378, E, F, , F, , , , , , , , , 
10, 42.720000, -12.906819, -7.242634, E, F, , F, , , , , , , , , 
10, 43.808000, -12.621393, -7.113866, E, F, , F, , , , , , , , , 
10, 50.688000, -12.467913, -7.379415, E, F, , F, , , , , , , , , 
10, 52.128000, -12.560090, -7.835978, E, F, , F, , , , , , , , , 
10, 53.088000, -12.658579, -8.300342, E, F, , F, , , , , , , , , 
10, 54.112000, -12.776177, -8.587114, E, F, , F, , , , , , , , , 
10, 54.752000, -12.992290, -8.940637, E, F, , F, , , , , , , , , 
10, 55.744000, -13.302635, -9.278916, E, F, , F, , , , , , , , , 
10, 56.064000, -13.503171, -9.502170, E, F, , F, , , , , , , , , 
10, 56.448000, -13.725765, -9.787394, E, F, , F, , , , , , , , , 
10, 56.896000, -13.979760, -10.119172, E, F, , F, , , , , , , , , 
10, 57.280000, -14.227697, -10.373722, E, F, , F, , , , , , , , , 
10, 57.664000, -14.487355, -10.626197, E, F, , F, , , , , , , , , 
10, 58.368000, -14.813541, -11.001684, E, F, , F, , , , , , , , , 
10, 59.456000, -15.017529, -11.241681, E, F, , F, , , , , , , , , 
10, 64.992000, -15.321864, -11.263474, E, F, , F, , , , , , , , , 
10, 66.464000, -15.639039, -11.011543, E, F, , F, , , , , , , , , 
