id,timestamp, lat, long, mode, isCommunicating, direction, reached, partnerId, partnerMode, broadcastedPath, receivedPath, beforePathLength, afterPathLength, sentDataSize, receivedDataSize
8, 1.888000, -36.021160, -0.236853, E, F, , F, , , , , , , , , 
8, 3.168000, -35.818080, -0.637463, E, F, , F, , , , , , , , , 
8, 3.520000, -35.669643, -0.902378, E, F, , F, , , , , , , , , 
8, 4.480000, -35.513295, -1.235291, E, F, , F, , , , , , , , , 
8, 5.376000, -35.338760, -1.656749, E, F, , F, , , , , , , , , 
8, 5.824000, -35.191466, -1.951343, E, F, , F, , , , , , , , , 
8, 6.528000, -34.944186, -2.358426, E, F, , F, , , , , , , , , 
8, 6.976000, -34.756822, -2.727390, E, F, , F, , , , , , , , , 
8, 7.424000, -34.566846, -3.099548, E, F, , F, , , , , , , , , 
8, 7.904000, -34.454642, -3.408409, E, F, , F, , , , , , , , , 
8, 8.352000, -34.402845, -3.732898, E, F, , F, , , , , , , , , 
8, 9.216000, -34.313713, -4.037211, E, F, , F, , , , , , , , , 
8, 11.488000, -34.234996, -4.343600, E, F, , F, , , , , , , , , 
8, 12.064000, -34.258081, -4.647811, E, F, , F, , , , , , , , , 
8, 12.832000, -34.325378, -4.943492, E, F, , F, , , , , , , , , 
8, 16.736000, -34.749164, -5.257635, E, F, , F, , , , , , , , , 
8, 17.120000, -35.078881, -5.393777, E, F, , F, , , , , , , , , 
8, 17.504000, -35.421534, -5.491693, E, F, , F, , , , , , , , , 
8, 17.888000, -35.770708, -5.551935, E, F, , F, , , , , , , , , 
8, 18.208000, -36.064367, -5.618962, E, F, , F, , , , , , , , , 
8, 19.040000, -36.365100, -5.641577, E, F, , F, , , , , , , , , 
8, 24.160000, -36.632987, -5.782026, E, F, , F, , , , , , , , , 
8, 27.328000, -36.459907, -6.160273, E, F, , F, , , , , , , , , 
8, 27.712000, -36.277046, -6.465710, E, F, , F, , , , , , , , , 
8, 28.096000, -36.098812, -6.780365, E, F, , F, , , , , , , , , 
8, 28.480000, -35.925333, -7.092030, E, F, , F, , , , , , , , , 
8, 28.864000, -35.758042, -7.410194, E, F, , F, , , , , , , , , 
8, 29.248000, -35.598622, -7.721229, E, F, , F, , , , , , , , , 
8, 29.568000, -35.473173, -7.994766, E, F, , F, , , , , , , , , 
8, 30.016000, -35.299066, -8.373969, E, F, , F, , , , , , , , , 
8, 30.400000, -35.190392, -8.706756, E, F, , F, , , , , , , , , 
8, 30.784000, -35.088140, -9.053586, E, F, , F, , , , , , , , , 
8, 31.168000, -34.995213, -9.393460, E, F, , F, , , , , , , , , 
8, 31.552000, -34.909911, -9.739300, E, F, , F, , , , , , , , , 
8, 31.936000, -34.830395, -10.084900, E, F, , F, , , , , , , , , 
8, 32.320000, -34.790686, -10.437866, E, F, , F, , , , , , , , , 
8, 32.640000, -34.767195, -10.736971, E, F, , F, , , , , , , , , 
8, 33.024000, -34.709430, -11.094869, E, F, , F, , , , , , , , , 
8, 33.408000, -34.627566, -11.444140, E, F, , F, , , , , , , , , 
8, 33.792000, -34.550497, -11.789019, E, F, , F, , , , , , , , , 
8, 34.176000, -34.508852, -12.136133, E, F, , F, , , , , , , , , 
8, 34.560000, -34.508560, -12.492023, E, F, , F, , , , , , , , , 
